channel1,channel2,state
4,123,tensed
3,57,tensed
3,28,tensed
4,15,tensed
4,9,tensed
4,6,tensed
3,5,tensed
3,4,tensed
4,4,tensed
3,4,tensed
4,4,tensed
3,4,tensed
4,4,tensed
4,4,tensed
3,4,tensed
4,4,tensed
4,4,tensed
3,4,tensed
3,4,tensed
4,4,tensed
3,3,tensed
4,3,tensed
3,4,tensed
4,4,tensed
3,3,tensed
4,3,tensed
4,3,tensed
3,3,tensed
3,3,tensed
4,4,tensed
4,3,tensed
3,3,tensed
4,3,tensed
4,3,tensed
4,3,tensed
4,3,tensed
3,3,tensed
3,3,tensed
3,3,tensed
4,3,tensed
4,3,tensed
4,3,tensed
3,3,tensed
4,3,tensed
3,3,tensed
3,3,tensed
4,3,tensed
4,3,tensed
3,3,tensed
3,3,tensed
3,3,tensed
4,3,tensed
4,3,tensed
4,3,tensed
4,3,tensed
3,3,tensed
4,3,tensed
3,3,tensed
4,3,tensed
4,3,tensed
4,3,tensed
4,3,tensed
4,3,tensed
4,3,tensed
4,3,tensed
3,3,tensed
3,3,tensed
4,3,tensed
4,3,tensed
4,3,tensed
4,3,tensed
4,3,tensed
4,3,tensed
4,3,tensed
4,3,tensed
4,3,tensed
4,3,tensed
4,3,tensed
4,3,tensed
4,3,tensed
4,3,tensed
4,3,tensed
4,3,tensed
4,3,tensed
4,3,tensed
4,3,tensed
4,3,tensed
4,3,tensed
4,3,tensed
4,3,tensed
4,4,tensed
4,4,tensed
4,4,tensed
4,3,tensed
4,3,tensed
4,3,tensed
4,3,tensed
4,3,tensed
4,3,tensed
4,4,tensed
4,3,tensed
4,3,tensed
4,3,tensed
4,3,tensed
4,3,tensed
4,3,tensed
4,4,tensed
4,3,tensed
4,3,tensed
4,3,tensed
4,4,tensed
4,3,tensed
4,3,tensed
4,3,tensed
4,3,tensed
4,3,tensed
4,3,tensed
4,3,tensed
4,3,tensed
4,3,tensed
4,3,tensed
4,3,tensed
4,3,tensed
4,3,tensed
4,3,tensed
3,3,tensed
4,3,tensed
4,3,tensed
4,3,tensed
4,3,tensed
4,3,tensed
4,3,tensed
4,4,tensed
4,3,tensed
4,3,tensed
3,3,tensed
4,3,tensed
4,3,tensed
4,3,tensed
4,3,tensed
4,3,tensed
4,3,tensed
4,3,tensed
4,3,tensed
4,3,tensed
4,3,tensed
4,3,tensed
4,3,tensed
4,3,tensed
4,3,tensed
4,3,tensed
4,3,tensed
4,3,tensed
4,3,tensed
4,3,tensed
4,3,tensed
4,3,tensed
4,3,tensed
4,3,tensed
3,3,tensed
3,3,tensed
4,3,tensed
3,3,tensed
3,3,tensed
4,3,tensed
4,3,tensed
4,3,tensed
4,3,tensed
4,3,tensed
4,3,tensed
4,3,tensed
4,3,tensed
4,3,tensed
4,3,tensed
4,3,tensed
3,3,tensed
4,3,tensed
4,3,tensed
4,3,tensed
3,3,tensed
4,3,tensed
4,3,tensed
4,3,tensed
4,3,tensed
3,3,tensed
3,3,tensed
4,3,tensed
4,3,tensed
3,3,tensed
3,3,tensed
4,3,tensed
4,3,tensed
3,3,tensed
4,3,tensed
3,3,tensed
4,3,tensed
4,3,tensed
4,3,tensed
4,3,tensed
3,3,tensed
4,3,tensed
4,3,tensed
3,3,tensed
4,3,tensed
3,3,tensed
4,3,tensed
4,3,tensed
4,3,tensed
4,3,tensed
4,3,tensed
4,3,tensed
4,3,tensed
4,3,tensed
4,3,tensed
4,3,tensed
4,3,tensed
3,3,tensed
4,3,tensed
4,3,tensed
4,3,tensed
4,3,tensed
3,3,tensed
3,3,tensed
4,3,tensed
4,3,tensed
3,3,tensed
4,3,tensed
4,3,tensed
4,3,tensed
4,3,tensed
4,3,tensed
4,3,tensed
4,3,tensed
4,3,tensed
4,3,tensed
4,3,tensed
4,3,tensed
4,3,tensed
4,3,tensed
4,3,tensed
4,3,tensed
4,3,tensed
4,3,tensed
4,3,tensed
4,3,tensed
4,4,tensed
4,4,tensed
4,4,tensed
4,4,tensed
4,4,tensed
4,4,tensed
4,4,tensed
4,3,tensed
5,4,tensed
4,4,tensed
4,4,tensed
39,30,tensed
170,128,tensed
375,296,tensed
620,506,tensed
775,670,tensed
849,777,tensed
903,852,tensed
987,935,tensed
1018,976,tensed
1018,993,tensed
1018,1001,tensed
1018,1004,tensed
1018,1005,tensed
1018,1006,tensed
1018,1006,tensed
1018,1006,tensed
1018,1006,tensed
1018,1007,tensed
1018,1007,tensed
1018,1007,tensed
1018,1007,tensed
1018,1007,tensed
1018,1007,tensed
1018,1007,tensed
1018,1006,tensed
1018,1007,tensed
1019,1007,tensed
1018,1007,tensed
1018,1007,tensed
1019,1007,tensed
1018,1007,tensed
1018,1007,tensed
1018,1007,tensed
1019,1007,tensed
1019,1007,tensed
1018,1007,tensed
1018,1007,tensed
1018,1007,tensed
1019,1007,tensed
1019,1007,tensed
1019,1007,tensed
1019,1007,tensed
1019,1007,tensed
1018,1007,tensed
1019,1007,tensed
1019,1007,tensed
1019,1007,tensed
1019,1007,tensed
1019,1007,tensed
1019,1007,tensed
1018,1007,tensed
1019,1007,tensed
1019,1007,tensed
1019,1007,tensed
1019,1007,tensed
1018,1007,tensed
1019,1007,tensed
1019,1007,tensed
1018,1007,tensed
1019,1007,tensed
1018,1007,tensed
1019,1007,tensed
1019,1007,tensed
1018,1007,tensed
1019,1007,tensed
1019,1007,tensed
1019,1007,tensed
1019,1007,tensed
1018,1007,tensed
1019,1007,tensed
1018,1007,tensed
1019,1007,tensed
1019,1007,tensed
1019,1007,tensed
1018,1007,tensed
1018,1007,tensed
1019,1007,tensed
1019,1007,tensed
1019,1007,tensed
1019,1007,tensed
1019,1007,tensed
1018,1007,tensed
1019,1007,tensed
1019,1007,tensed
1019,1007,tensed
1019,1007,tensed
1018,1007,tensed
1018,1007,tensed
1018,1007,tensed
1019,1007,tensed
1019,1007,tensed
1019,1007,tensed
1019,1007,tensed
1019,1007,tensed
1019,1007,tensed
1019,1007,tensed
1019,1007,tensed
1018,1007,tensed
1018,1007,tensed
1018,1007,tensed
1018,1007,tensed
1019,1007,tensed
1019,1007,tensed
1019,1007,tensed
1019,1007,tensed
1019,1007,tensed
1018,1007,tensed
1019,1007,tensed
1019,1007,tensed
1019,1007,tensed
1019,1007,tensed
1019,1007,tensed
1019,1007,tensed
1019,1007,tensed
1018,1007,tensed
1018,1007,tensed
1018,1007,tensed
1019,1007,tensed
1019,1007,tensed
1019,1007,tensed
1018,1007,tensed
1018,1007,tensed
1019,1007,tensed
1019,1007,tensed
1019,1007,tensed
1019,1007,tensed
1019,1007,tensed
1019,1007,tensed
1019,1007,tensed
1019,1007,tensed
1019,1007,tensed
1019,1007,tensed
1019,1007,tensed
1019,1007,tensed
1019,1007,tensed
1018,1007,tensed
1019,1007,tensed
1018,1007,tensed
1019,1007,tensed
1019,1007,tensed
1019,1007,tensed
1019,1007,tensed
1019,1007,tensed
1018,1007,tensed
1019,1007,tensed
1019,1007,tensed
1019,1007,tensed
1019,1007,tensed
1019,1007,tensed
1019,1007,tensed
1019,1007,tensed
1019,1007,tensed
1018,1007,tensed
1019,1007,tensed
1018,1007,tensed
1019,1007,tensed
1018,1007,tensed
1019,1007,tensed
1019,1007,tensed
1018,1007,tensed
1019,1007,tensed
1019,1007,tensed
1019,1007,tensed
1019,1007,tensed
1019,1007,tensed
1018,1007,tensed
1019,1007,tensed
1019,1007,tensed
1019,1007,tensed
1019,1007,tensed
1019,1007,tensed
1018,1007,tensed
1019,1007,tensed
1018,1007,tensed
1019,1007,tensed
1019,1007,tensed
1019,1007,tensed
1018,1007,tensed
1019,1007,tensed
1018,1007,tensed
1019,1007,tensed
1018,1007,tensed
1019,1007,tensed
1019,1007,tensed
1018,1007,tensed
1019,1007,tensed
1018,1007,tensed
1019,1007,tensed
1019,1007,tensed
1018,1007,tensed
1018,1007,tensed
1019,1007,tensed
1018,1007,tensed
1019,1007,tensed
1019,1007,tensed
1018,1007,tensed
1018,1007,tensed
1019,1007,tensed
1019,1007,tensed
1018,1007,tensed
1018,1007,tensed
1019,1007,tensed
1019,1007,tensed
1018,1007,tensed
1018,1007,tensed
1019,1007,tensed
1019,1007,tensed
1018,1007,tensed
1019,1007,tensed
1019,1007,tensed
1019,1007,tensed
1018,1007,tensed
1018,1007,tensed
1019,1007,tensed
1019,1007,tensed
1019,1007,tensed
1019,1007,tensed
1019,1007,tensed
1019,1007,tensed
1018,1007,tensed
1019,1007,tensed
1018,1007,tensed
1018,1007,tensed
1019,1007,tensed
1019,1007,tensed
1019,1007,tensed
1019,1007,tensed
1019,1007,tensed
1019,1007,tensed
1018,1007,tensed
1019,1007,tensed
1018,1007,tensed
1019,1007,tensed
1019,1007,tensed
1019,1007,tensed
1018,1007,tensed
1018,1007,tensed
1019,1007,tensed
1019,1007,tensed
1018,1007,tensed
1018,1007,tensed
1019,1007,tensed
1019,1007,tensed
1019,1007,tensed
1019,1007,tensed
1018,1007,tensed
1018,1007,tensed
1019,1007,tensed
1018,1007,tensed
1018,1007,tensed
1019,1007,tensed
1019,1007,tensed
1019,1007,tensed
1019,1007,tensed
1018,1007,tensed
1018,1007,tensed
1018,1007,tensed
1018,1007,tensed
1018,1007,tensed
1018,1007,tensed
1019,1007,tensed
1018,1007,tensed
1018,1007,tensed
1018,1007,tensed
1018,1007,tensed
1019,1007,tensed
1019,1007,tensed
1018,1007,tensed
1018,1007,tensed
1018,1007,tensed
1019,1007,tensed
1018,1007,tensed
1018,1007,tensed
1019,1007,tensed
1019,1007,tensed
1019,1007,tensed
1019,1007,tensed
1019,1007,tensed
1019,1007,tensed
1018,1007,tensed
1019,1007,tensed
1018,1007,tensed
1018,1007,tensed
1019,1007,tensed
1018,1007,tensed
1018,1007,tensed
1018,1007,tensed
1018,1007,tensed
1018,1007,tensed
1018,1007,tensed
1019,1007,tensed
1018,1007,tensed
1018,1007,tensed
1018,1007,tensed
1018,1007,tensed
1018,1007,tensed
1018,1007,tensed
1018,1007,tensed
1018,1007,tensed
1018,1007,tensed
1018,1007,tensed
1019,1007,tensed
1018,1007,tensed
1018,1007,tensed
1018,1007,tensed
1019,1007,tensed
1018,1007,tensed
1018,1007,tensed
1018,1007,tensed
1018,1007,tensed
1019,1007,tensed
1019,1007,tensed
1019,1007,tensed
1018,1007,tensed
1018,1007,tensed
1019,1007,tensed
1019,1007,tensed
1018,1007,tensed
1018,1007,tensed
1018,1007,tensed
1018,1007,tensed
1019,1007,tensed
1018,1007,tensed
1018,1007,tensed
1018,1007,tensed
1018,1007,tensed
1018,1007,tensed
1018,1007,tensed
1018,1007,tensed
1019,1007,tensed
1018,1007,tensed
1018,1007,tensed
1018,1007,tensed
1018,1007,tensed
1019,1007,tensed
1019,1007,tensed
1018,1007,tensed
1018,1007,tensed
1018,1007,tensed
1018,1007,tensed
1018,1007,tensed
1019,1007,tensed
1018,1007,tensed
1018,1007,tensed
1018,1007,tensed
1019,1007,tensed
1018,1007,tensed
1018,1007,tensed
1018,1007,tensed
1018,1007,tensed
1018,1007,tensed
1019,1007,tensed
1018,1007,tensed
1018,1007,tensed
1018,1007,tensed
1019,1007,tensed
1018,1007,tensed
1019,1007,tensed
1019,1007,tensed
1018,1007,tensed
1018,1007,tensed
1019,1007,tensed
1019,1007,tensed
1018,1007,tensed
1018,1007,tensed
1018,1007,tensed
1019,1007,tensed
